                  fc  |                root  |Forward Carriage (FC) detector envelope to hold the torus magnet and the FC detectors  |                                  0*mm 0.0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 88aa88   |            Polycone  |0.0*deg 360*deg 8*counts 2575*mm 2000*mm 132*mm 132*mm 61.5*mm 61.5*mm 197*mm 197*mm 2575*mm 3500*mm 4800*mm 5000*mm 5000*mm 5000*mm 5000*mm 5000*mm 1206*mm 1556*mm 2406*mm 2753.7*mm 2753.7*mm 4912.3*mm 4912.3*mm 8500*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
        Window_3_n30  |        PMTRow_3_n30  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_3_n30  |        PMTRow_3_n30  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n31  |                  fc  |             PMT mother volume  |          -63.266678*cm 23.850000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n31  |        PMTRow_4_n31  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n32  |                  fc  |             PMT mother volume  |          -63.266678*cm 18.550000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n32  |        PMTRow_4_n32  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n33  |                  fc  |             PMT mother volume  |          -63.266678*cm 13.250000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n33  |        PMTRow_4_n33  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n34  |                  fc  |             PMT mother volume  |           -63.266678*cm 7.950000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n34  |        PMTRow_4_n34  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n35  |                  fc  |             PMT mother volume  |           -63.266678*cm 2.650000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n35  |        PMTRow_4_n35  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n36  |                  fc  |             PMT mother volume  |          -63.266678*cm -2.650000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n36  |        PMTRow_4_n36  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n37  |                  fc  |             PMT mother volume  |          -63.266678*cm -7.950000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n37  |        PMTRow_4_n37  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n38  |                  fc  |             PMT mother volume  |         -63.266678*cm -13.250000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n38  |        PMTRow_4_n38  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n39  |                  fc  |             PMT mother volume  |         -63.266678*cm -18.550000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n39  |        PMTRow_4_n39  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_4_n40  |                  fc  |             PMT mother volume  |         -63.266678*cm -23.850000*cm 686.138852*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlLeft_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlRight_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Socket_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        Window_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
  Photocathode_4_n40  |        PMTRow_4_n40  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        PMTRow_5_n41  |                  fc  |             PMT mother volume  |          -68.070109*cm 26.500000*cm 683.898975*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlTop_5_n41  |        PMTRow_5_n41  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
      AlBottom_5_n41  |        PMTRow_5_n41  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
